,sample,herv_or_clade,cpm1,cpm2,color_column
134,AMS2,ERV_4436683,-2.9386471864373385,-inf,AMS2
135,AMS2,Clade_2997,-1.8400348977692276,-inf,AMS2
136,AMS2,ERV_3515491,-inf,-inf,AMS2
137,AMS2,Clade_1247,0.6722707262068872,-2.5305831620466526,AMS2
138,AMS2,Clade_1117,-3.631794366997284,-inf,AMS2
139,AMS2,Clade_1883,3.287889482850128,0.9034040424384945,AMS2
140,AMS2,ERV_1558036,-2.9386471864373385,-2.5305831620466526,AMS2
141,AMS2,ERV_3602656,-inf,-inf,AMS2
142,AMS2,Clade_1731,-0.6360620934432915,-0.5846730129913383,AMS2
143,AMS2,Clade_2490,-3.631794366997284,-2.5305831620466526,AMS2
144,AMS2,ERV_4429932,-inf,-inf,AMS2
145,AMS2,ERV_2968587,-3.631794366997284,-inf,AMS2
146,AMS2,Clade_1191,-1.0668450095357458,-0.5846730129913383,AMS2
147,AMS2,Clade_881,-inf,-inf,AMS2
148,AMS2,Clade_312,5.1630305610172345,4.342580672165867,AMS2
149,AMS2,ERV_2694696,-inf,-inf,AMS2
150,AMS2,Clade_935,1.5939523067159187,1.319564439663407,AMS2
151,AMS2,Clade_691,1.1473291261142469,-0.9211452496125512,AMS2
152,AMS2,ERV_3363978,-inf,-inf,AMS2
153,AMS2,ERV_2171742,-2.9386471864373385,-inf,AMS2
154,AMS2,Clade_379,-0.992737037382024,-1.8374359814867067,AMS2
155,AMS2,Clade_1661,-2.9386471864373385,-inf,AMS2
156,AMS2,ERV_1131539,-inf,-inf,AMS2
157,AMS2,ERV_1060650,-inf,-inf,AMS2
158,AMS2,ERV_4130973,-inf,-inf,AMS2
159,AMS2,ERV_3034851,-inf,-inf,AMS2
160,AMS2,ERV_2683046,-3.631794366997284,-inf,AMS2
161,AMS2,Clade_965,0.28022863843086354,-0.5846730129913383,AMS2
162,AMS2,ERV_3472848,-inf,-inf,AMS2
163,AMS2,Clade_1290,-inf,-inf,AMS2
164,AMS2,ERV_4012297,-inf,-inf,AMS2
165,AMS2,ERV_4444210,-inf,-inf,AMS2
166,AMS2,Clade_1278,-2.533182078329173,-inf,AMS2
167,AMS2,Clade_245,5.867177626466269,5.032098084675233,AMS2
168,AMS2,ERV_3935504,-2.022356454563182,-inf,AMS2
169,AMS2,ERV_3608943,-2.245500005877392,-2.5305831620466526,AMS2
170,AMS2,Clade_2903,0.6722707262068872,-1.144288800926761,AMS2
171,AMS2,ERV_2734541,-inf,-inf,AMS2
172,AMS2,ERV_4379364,-inf,-inf,AMS2
173,AMS2,Clade_2084,-2.533182078329173,-inf,AMS2
174,AMS2,Clade_2728,-1.233899094198912,-inf,AMS2
175,AMS2,ERV_3270454,-inf,-inf,AMS2
176,AMS2,Clade_401,-inf,-inf,AMS2
177,AMS2,ERV_3876194,-inf,-inf,AMS2
178,AMS2,ERV_2248203,0.6448717520187728,-1.8374359814867067,AMS2
179,AMS2,Clade_2937,-0.6360620934432915,-1.8374359814867067,AMS2
180,AMS2,ERV_3141368,-inf,-inf,AMS2
181,AMS2,ERV_2113455,-inf,-inf,AMS2
182,AMS2,ERV_3268492,-1.4345697896610632,-inf,AMS2
183,AMS2,Clade_2599,-0.29958985682207867,-1.8374359814867067,AMS2
184,AMS2,ERV_3351783,-3.631794366997284,-inf,AMS2
185,AMS2,Clade_65,-1.6858842179419695,-1.8374359814867067,AMS2
186,AMS2,Clade_2941,-inf,-2.5305831620466526,AMS2
187,AMS2,Clade_790,-inf,-inf,AMS2
188,AMS2,Clade_2081,-0.6360620934432915,-inf,AMS2
189,AMS2,ERV_3665279,-inf,-inf,AMS2
190,AMS2,Clade_804,-2.245500005877392,-inf,AMS2
191,AMS2,Clade_735,2.114408823542871,-0.4511416203668157,AMS2
192,AMS2,Clade_747,0.428648643549137,-1.4319708733785421,AMS2
193,AMS2,Clade_2787,-3.631794366997284,-inf,AMS2
194,AMS2,Clade_20,-2.9386471864373385,-inf,AMS2
195,AMS2,ERV_3359192,-inf,-inf,AMS2
196,AMS2,ERV_3551861,-inf,-inf,AMS2
197,AMS2,Clade_1297,-1.3292092740032369,-inf,AMS2
198,AMS2,Clade_726,-inf,-inf,AMS2
199,AMS2,Clade_2901,1.7153131637201862,-0.4511416203668157,AMS2
200,AMS2,ERV_2838000,-inf,-inf,AMS2
201,AMS2,Clade_176,-inf,-inf,AMS2
202,AMS2,ERV_3467458,-inf,-inf,AMS2
203,AMS2,Clade_1940,0.10587525128608577,-1.4319708733785421,AMS2
204,AMS2,Clade_1534,-0.13528680553080233,-inf,AMS2
205,AMS2,ERV_4438181,-inf,-inf,AMS2
206,AMS2,ERV_1481585,-2.533182078329173,-2.5305831620466526,AMS2
207,AMS2,Clade_2388,0.21835323471277607,-1.4319708733785421,AMS2
208,AMS2,ERV_4389645,-inf,-inf,AMS2
209,AMS2,ERV_1006908,-inf,-inf,AMS2
210,AMS2,ERV_3228348,-3.631794366997284,-inf,AMS2
211,AMS2,Clade_2523,-inf,-inf,AMS2
212,AMS2,Clade_2276,0.5113403593942503,-1.4319708733785421,AMS2
213,AMS2,ERV_2846057,-inf,-inf,AMS2
214,AMS2,ERV_4236461,-inf,-inf,AMS2
215,AMS2,Clade_1629,-inf,-inf,AMS2
216,AMS2,Clade_1175,-3.631794366997284,-inf,AMS2
217,AMS2,ERV_1210060,-inf,-inf,AMS2
218,AMS2,Clade_368,-inf,-inf,AMS2
219,AMS2,ERV_1248979,-inf,-inf,AMS2
220,AMS2,ERV_1823038,-inf,-inf,AMS2
221,AMS2,Clade_1538,-0.166058464197556,-inf,AMS2
222,AMS2,ERV_2394906,-0.1978071625121363,-0.9211452496125512,AMS2
223,AMS2,Clade_2977,1.1388902574683823,-1.144288800926761,AMS2
224,AMS2,ERV_3832217,-inf,-inf,AMS2
225,AMS2,ERV_1807250,-0.166058464197556,0.10847416756860703,AMS2
226,AMS2,ERV_3642501,-3.631794366997284,-2.5305831620466526,AMS2
227,AMS2,Clade_549,-inf,-inf,AMS2
228,AMS2,Clade_1833,-0.49630015106813274,-inf,AMS2
229,AMS2,ERV_1937160,-inf,-inf,AMS2
230,AMS2,ERV_3601443,-inf,-inf,AMS2
231,AMS2,ERV_3665895,-2.022356454563182,-inf,AMS2
232,AMS2,ERV_2898398,-inf,-inf,AMS2
233,AMS2,ERV_2226807,-inf,-inf,AMS2
234,AMS2,ERV_3985839,-inf,-inf,AMS2
235,AMS2,ERV_3209476,-inf,-inf,AMS2
236,AMS2,ERV_2826921,-inf,-inf,AMS2
237,AMS2,ERV_2900252,-inf,-inf,AMS2
238,AMS2,ERV_2495614,-2.533182078329173,-inf,AMS2
239,AMS2,Clade_1704,-inf,-inf,AMS2
240,AMS2,ERV_2818847,-inf,-inf,AMS2
241,AMS2,ERV_2397072,-inf,-inf,AMS2
242,AMS2,Clade_510,-3.631794366997284,-inf,AMS2
243,AMS2,Clade_1828,-inf,-inf,AMS2
244,AMS2,Clade_1902,-1.233899094198912,-inf,AMS2
245,AMS2,ERV_4058598,-inf,-inf,AMS2
246,AMS2,ERV_4362162,-inf,-inf,AMS2
247,AMS2,Clade_2386,-3.631794366997284,-inf,AMS2
248,AMS2,ERV_2715311,-inf,-inf,AMS2
249,AMS2,Clade_2037,-0.7414226091011178,-inf,AMS2
250,AMS2,Clade_2447,-inf,-inf,AMS2
251,AMS2,ERV_1123990,-inf,-inf,AMS2
252,AMS2,Clade_1984,-inf,-inf,AMS2
253,AMS2,Clade_524,0.08177769970702518,-inf,AMS2
254,AMS2,ERV_2935599,-inf,-inf,AMS2
255,AMS2,Clade_2611,-inf,-inf,AMS2
256,AMS2,ERV_2572379,-inf,-inf,AMS2
257,AMS2,ERV_2995885,-inf,-inf,AMS2
258,AMS2,ERV_3961347,-inf,-inf,AMS2
259,AMS2,ERV_3112486,-inf,-inf,AMS2
260,AMS2,Clade_1962,-0.5407519136389666,-inf,AMS2
261,AMS2,ERV_1939167,-2.533182078329173,-inf,AMS2
262,AMS2,ERV_1034415,-inf,-inf,AMS2
263,AMS2,ERV_4442765,-0.6360620934432915,-1.144288800926761,AMS2
264,AMS2,ERV_4001706,-inf,-inf,AMS2
265,AMS2,Clade_882,0.3755388182351884,-inf,AMS2
266,AMS2,ERV_4426735,-3.631794366997284,-inf,AMS2
267,AMS2,ERV_3955809,-inf,-2.5305831620466526,AMS2
268,AMS2,ERV_1262697,-0.13528680553080233,-inf,AMS2
269,AMS2,Clade_1066,1.5611624838929279,1.4767500231858193,AMS2
270,AMS2,Clade_2491,-3.631794366997284,-2.5305831620466526,AMS2
271,AMS2,Clade_1372,1.3449393754232921,1.107002997679734,AMS2
272,AMS2,ERV_2078201,-inf,-inf,AMS2
273,AMS2,ERV_3869202,-inf,-inf,AMS2
274,AMS2,ERV_2333378,-inf,-inf,AMS2
275,AMS2,Clade_270,0.005791792729103319,-0.2279980690526059,AMS2
