,sample,herv_or_clade,cpm1,cpm2,color_column
19858,SMS2,ERV_3009356,-inf,-inf,SMS2
19859,SMS2,ERV_1801750,-inf,-inf,SMS2
19860,SMS2,ERV_3888894,-inf,-inf,SMS2
19861,SMS2,ERV_4317323,-inf,-inf,SMS2
19862,SMS2,ERV_2118392,-inf,-inf,SMS2
19863,SMS2,ERV_3101737,-inf,-inf,SMS2
19864,SMS2,ERV_3701791,-inf,-inf,SMS2
19865,SMS2,ERV_3919375,-0.006805061251451969,-inf,SMS2
19866,SMS2,ERV_3300263,-inf,-inf,SMS2
19867,SMS2,ERV_3532913,-inf,-inf,SMS2
19868,SMS2,ERV_2226806,-inf,-inf,SMS2
19869,SMS2,ERV_4265901,-inf,-inf,SMS2
19870,SMS2,ERV_1821110,-inf,-inf,SMS2
19871,SMS2,ERV_1418070,-inf,-inf,SMS2
19872,SMS2,ERV_1700089,-inf,-inf,SMS2
19873,SMS2,ERV_2049413,-inf,-inf,SMS2
19874,SMS2,ERV_1030243,-inf,-inf,SMS2
19875,SMS2,ERV_3037836,-1.5231525506195407,-inf,SMS2
19876,SMS2,ERV_4268691,-inf,-inf,SMS2
19877,SMS2,ERV_1053757,-inf,-inf,SMS2
19878,SMS2,ERV_1893808,-inf,-inf,SMS2
19879,SMS2,ERV_4443156,-inf,-inf,SMS2
19880,SMS2,ERV_2564749,-inf,-inf,SMS2
19881,SMS2,ERV_2674025,-2.33408276683587,-inf,SMS2
19882,SMS2,ERV_2687897,-inf,-inf,SMS2
19883,SMS2,ERV_3532089,-2.33408276683587,-inf,SMS2
19884,SMS2,ERV_3021827,-inf,-inf,SMS2
19885,SMS2,ERV_1128079,-inf,-inf,SMS2
19886,SMS2,ERV_3153202,-inf,-inf,SMS2
19887,SMS2,ERV_4356739,-3.027229947395816,-inf,SMS2
19888,SMS2,ERV_2999607,-inf,-inf,SMS2
19889,SMS2,ERV_2037173,-inf,-inf,SMS2
19890,SMS2,ERV_3270054,-inf,-inf,SMS2
19891,SMS2,ERV_2178767,-2.6217648392876503,-inf,SMS2
19892,SMS2,ERV_4030315,-inf,-inf,SMS2
19893,SMS2,ERV_1688773,-inf,-inf,SMS2
19894,SMS2,ERV_4170852,-2.33408276683587,-inf,SMS2
19895,SMS2,ERV_2008890,-inf,-inf,SMS2
19896,SMS2,ERV_1932031,-1.23547047816776,-2.0327812483493446,SMS2
19897,SMS2,ERV_1112163,-inf,-inf,SMS2
19898,SMS2,ERV_3037876,-inf,-inf,SMS2
19899,SMS2,ERV_3468582,-inf,-inf,SMS2
19900,SMS2,ERV_2323001,-0.22386956648927955,0.16444332898687497,SMS2
19901,SMS2,ERV_3311583,-inf,-inf,SMS2
19902,SMS2,ERV_3518347,-0.629334674597444,-inf,SMS2
19903,SMS2,ERV_3929178,-inf,-inf,SMS2
19904,SMS2,ERV_2988401,-inf,-2.72592842890929,SMS2
19905,SMS2,ERV_4263742,-inf,-inf,SMS2
19906,SMS2,ERV_2918016,-inf,-inf,SMS2
19907,SMS2,ERV_2222675,-0.3881726177805559,-inf,SMS2
19908,SMS2,ERV_2138185,-inf,-inf,SMS2
19909,SMS2,ERV_1112932,-inf,-inf,SMS2
19910,SMS2,ERV_1436320,-inf,-inf,SMS2
19911,SMS2,ERV_3398209,-inf,-inf,SMS2
19912,SMS2,ERV_4431533,-inf,-inf,SMS2
19913,SMS2,ERV_3542635,-inf,-inf,SMS2
19914,SMS2,ERV_1902961,-1.3224818551573894,-inf,SMS2
19915,SMS2,ERV_2847940,0.733970168297748,-2.72592842890929,SMS2
19916,SMS2,ERV_2138716,-inf,-inf,SMS2
19917,SMS2,ERV_3921943,-inf,-inf,SMS2
19918,SMS2,ERV_3231150,-inf,-inf,SMS2
19919,SMS2,ERV_3017825,-inf,-inf,SMS2
