,Method,FPR
321,ERVmap,3.1920011006019797e-07
322,ERVmap,0.00013974456153149098
323,ERVmap,4.560000948480197e-07
324,ERVmap,0.0
325,ERVmap,3.374390854051029e-06
326,ERVmap,9.11999773824056e-07
327,ERVmap,0.0
328,ERVmap,0.0
329,ERVmap,1.0259901545984765e-05
330,ERVmap,8.371464686234676e-05
331,ERVmap,3.739188501247521e-06
332,ERVmap,0.0
333,ERVmap,0.002314713610660703
334,ERVmap,7.615147065589718e-06
335,ERVmap,4.3135767868649856e-05
336,ERVmap,8.891926837225983e-06
337,ERVmap,4.560002819905744e-08
338,ERVmap,5.016000814598532e-07
339,ERVmap,3.1920011006019797e-07
340,ERVmap,9.120005223938992e-08
341,ERVmap,8.116739507563799e-06
342,ERVmap,0.0
343,ERVmap,0.00011147964493391127
344,ERVmap,3.570354891908304e-05
345,ERVmap,0.0015711845392891745
346,ERVmap,0.0001519162188436112
347,ERVmap,3.7847881884330215e-06
348,ERVmap,6.794358347865584e-06
349,ERVmap,5.927968795172262e-06
350,ERVmap,4.3135767868649856e-05
351,ERVmap,0.0
352,ERVmap,4.560000948480197e-07
353,ERVmap,0.002032040555439284
354,ERVmap,8.755129160498936e-06
355,ERVmap,0.00016955775789659748
356,ERVmap,5.015978170463002e-06
357,ERVmap,1.824000878438823e-07
358,ERVmap,1.5503986257266581e-06
359,ERVmap,4.560000948480197e-07
360,ERVmap,5.472000639129674e-07
361,ERVmap,0.001641364983412444
362,ERVmap,2.371195951894271e-06
363,ERVmap,6.0917929231787524e-05
364,ERVmap,1.824000878438823e-07
365,ERVmap,2.7313672079713606e-05
366,ERVmap,5.061577741205725e-06
367,ERVmap,4.879179433282853e-06
368,ERVmap,2.8271938842141897e-06
369,ERVmap,4.47772246437794e-05
370,ERVmap,1.58229601365827e-05
371,ERVmap,0.0018421247392272889
372,ERVmap,0.0003484451750873187
373,ERVmap,5.016000814598532e-07
374,ERVmap,2.872793654573376e-06
375,ERVmap,3.5612355362425024e-05
376,ERVmap,1.1399994573602583e-06
377,ERVmap,1.2767992175774395e-06
378,ERVmap,0.00011147964493391127
379,ERVmap,5.932212006952133e-05
380,ERVmap,1.819408105048155e-05
381,ERVmap,3.5612355362425024e-05
382,ERVmap,2.8818388612504936e-05
383,ERVmap,6.292764579286736e-06
384,ERVmap,2.736001068134817e-07
385,ERVmap,9.120005223938992e-08
386,ERVmap,0.0
387,ERVmap,9.849509526345295e-06
388,ERVmap,9.520379859508739e-05
389,ERVmap,0.0020663730359183224
390,ERVmap,6.566361242709401e-06
391,ERVmap,3.146303093864709e-05
392,ERVmap,1.4591988396450828e-06
393,ERVmap,0.00011147964493391127
394,ERVmap,3.6480010914819266e-07
395,ERVmap,3.5612355362425024e-05
396,ERVmap,1.3588624369747747e-05
397,ERVmap,0.0
398,ERVmap,2.4167957638403853e-06
399,ERVmap,6.538616778874924e-05
400,ERVmap,0.0002680107289996681
401,ERVmap,3.374390854051029e-06
402,ERVmap,5.016000814598532e-07
403,ERVmap,9.120005223938992e-08
404,ERVmap,1.915164592437015e-05
405,ERVmap,3.921587225037455e-06
406,ERVmap,1.3816618272783181e-05
407,ERVmap,2.6903945481844874e-06
408,ERVmap,2.2800009940804334e-07
409,ERVmap,5.836769807557139e-06
410,ERVmap,1.8239978841624543e-06
411,ERVmap,0.00011120610567571069
412,ERVmap,7.5695477277312115e-06
413,ERVmap,5.015978170463002e-06
414,ERVmap,9.497584180262051e-05
415,ERVmap,7.022355349055749e-06
416,ERVmap,2.111236827740357e-05
417,ERVmap,1.3680007212099803e-07
418,ERVmap,9.120005223938992e-08
419,ERVmap,0.0
420,ERVmap,0.0001192298617229969
421,ERVmap,8.663998246406755e-07
422,ERVmap,4.0583862242138e-06
423,ERVmap,0.0
424,ERVmap,3.6480010914819266e-07
425,ERVmap,1.0396698811009813e-05
426,ERVmap,3.5111900029398236e-06
427,ERVmap,1.3680007212099803e-07
428,ERVmap,4.240784831560814e-06
429,ERVmap,6.384000163430405e-07
430,ERVmap,9.939818502561783e-05
431,ERVmap,4.614510117313432e-05
432,ERVmap,0.0
433,ERVmap,0.00011147964493391127
434,ERVmap,3.6480010914819266e-07
435,ERVmap,6.520761809202236e-06
436,ERVmap,0.0
437,ERVmap,0.00012137254751767152
438,ERVmap,9.575997188487225e-07
439,ERVmap,2.7860842251956768e-05
440,ERVmap,4.195185185962071e-06
441,ERVmap,8.527132949448191e-06
442,ERVmap,6.748758935151631e-06
443,ERVmap,9.43911716985901e-06
444,ERVmap,4.468782997174453e-06
445,ERVmap,4.468782997174453e-06
446,ERVmap,5.472000639129674e-07
447,ERVmap,6.475162371536426e-06
448,ERVmap,4.560002819905744e-08
449,ERVmap,4.0583862242138e-06
450,ERVmap,0.0
451,ERVmap,3.6480010914819266e-07
452,ERVmap,9.120005223938992e-08
453,ERVmap,5.107177307789786e-06
454,ERVmap,4.103985882288565e-06
455,ERVmap,3.374390854051029e-06
456,ERVmap,4.3135767868649856e-05
457,ERVmap,4.560002819905744e-08
458,ERVmap,8.038639088951805e-05
459,ERVmap,0.00011147964493391127
460,ERVmap,1.3680007212099803e-07
461,ERVmap,4.879179433282853e-06
462,ERVmap,1.824000878438823e-07
463,ERVmap,4.195185185962071e-06
464,ERVmap,0.0
465,ERVmap,2.2343964911037503e-06
466,ERVmap,1.3041438578289853e-05
467,ERVmap,8.800728390233234e-06
468,ERVmap,3.5612355362425024e-05
469,ERVmap,3.7847881884330215e-06
470,ERVmap,6.018841710390664e-05
471,ERVmap,4.240784831560814e-06
472,ERVmap,1.824000878438823e-07
473,ERVmap,1.5959985125293862e-06
474,ERVmap,2.2800009940804334e-07
475,ERVmap,2.736001068134817e-07
476,ERVmap,1.2767992175774395e-06
477,ERVmap,6.2015656582100114e-06
478,ERVmap,9.849509526345295e-06
479,ERVmap,8.663998246406755e-07
480,ERVmap,0.0020844011835663675
481,ERVmap,1.0031996597146755e-06
482,ERVmap,1.5321375425407563e-05
483,ERVmap,8.453530931351128e-05
484,ERVmap,1.3680007212099803e-07
485,ERVmap,0.0
486,ERVmap,4.560002819905744e-08
487,ERVmap,5.471973690750495e-06
488,ERVmap,1.9151976037047583e-06
489,ERVmap,0.0
490,ERVmap,5.335175078330174e-06
491,ERVmap,0.0015768211569571259
492,ERVmap,3.2831914006650834e-06
493,ERVmap,1.3406229172465393e-05
494,ERVmap,4.195185185962071e-06
495,ERVmap,2.4304225428667486e-05
496,ERVmap,4.833579845905474e-06
497,ERVmap,1.6598135518669392e-05
498,ERVmap,5.016000814598532e-07
499,ERVmap,1.4135989403662343e-06
500,ERVmap,1.0031996597146755e-06
501,ERVmap,1.3680007212099803e-07
502,ERVmap,5.061577741205725e-06
503,ERVmap,0.00011147964493391127
504,ERVmap,1.2585449961299742e-05
505,ERVmap,9.11999773824056e-07
506,ERVmap,8.755129160498936e-06
507,ERVmap,4.454924485838105e-05
508,ERVmap,1.641598395173409e-06
509,ERVmap,0.0
510,ERVmap,0.0
511,ERVmap,2.2800009940804334e-07
512,ERVmap,1.231199301663756e-06
513,ERVmap,8.663998246406755e-07
514,ERVmap,6.839957756420896e-06
515,ERVmap,0.0
516,ERVmap,7.295999521382431e-07
517,ERVmap,6.384000163430405e-07
518,ERVmap,6.384000163430405e-07
519,ERVmap,9.120005223938992e-08
520,ERVmap,5.791170307511599e-06
521,ERVmap,1.2859043181396594e-05
522,ERVmap,1.2950240888160352e-05
523,ERVmap,1.3680007212099803e-07
524,ERVmap,3.191991930644399e-06
525,ERVmap,2.9183934207738723e-06
526,ERVmap,1.824000878438823e-07
527,ERVmap,1.641598395173409e-06
528,ERVmap,1.819408105048155e-05
529,ERVmap,4.560002819905744e-08
530,ERVmap,4.560002819905744e-08
531,ERVmap,0.0
532,ERVmap,3.191991930644399e-06
533,ERVmap,9.302319642841997e-06
534,ERVmap,4.195185185962071e-06
535,ERVmap,2.644794761190537e-06
536,ERVmap,1.974442326060865e-05
537,ERVmap,1.824000878438823e-07
538,ERVmap,1.9425235551500676e-05
539,ERVmap,5.4263741574357125e-06
540,ERVmap,0.0019212613275863889
541,ERVmap,0.0
542,ERVmap,0.00195151344691979
543,ERVmap,1.819408105048155e-05
544,ERVmap,2.736001068134817e-07
545,ERVmap,2.0063973066122555e-06
546,ERVmap,8.663998246406755e-07
547,ERVmap,5.016000814598532e-07
548,ERVmap,0.00011147964493391127
549,ERVmap,3.9624856120505894e-05
550,ERVmap,1.8695977460129574e-06
551,ERVmap,3.1920011006019797e-07
552,ERVmap,4.482282058838456e-05
553,ERVmap,1.3451827978023817e-05
554,ERVmap,6.429562929711973e-06
555,ERVmap,4.801452637773534e-05
556,ERVmap,9.758311254014132e-06
557,ERVmap,2.3346670422805467e-05
558,ERVmap,9.940707782042048e-06
559,ERVmap,1.367999036928678e-06
560,ERVmap,4.153990194850411e-05
561,ERVmap,3.6480010914819266e-07
562,ERVmap,1.0624694169546316e-05
563,ERVmap,1.0533496038607497e-05
564,ERVmap,4.560002819905744e-08
565,ERVmap,5.015978170463002e-06
566,ERVmap,4.104001040774664e-07
567,ERVmap,1.2767845457998576e-05
568,ERVmap,3.6480010914819266e-07
569,ERVmap,7.578150705068953e-05
570,ERVmap,4.701142103943939e-05
571,ERVmap,0.0
572,ERVmap,2.736001068134817e-07
573,ERVmap,8.41249782563149e-05
574,ERVmap,6.2015656582100114e-06
575,ERVmap,3.6480010914819266e-07
576,ERVmap,3.602389414738944e-06
577,ERVmap,9.120005223938992e-08
578,ERVmap,4.560002819905744e-08
579,ERVmap,1.974442326060865e-05
580,ERVmap,1.5503986257266581e-06
581,ERVmap,9.120005223938992e-08
582,ERVmap,1.6689332543432392e-05
583,ERVmap,2.599194970037894e-06
584,ERVmap,2.6903945481844874e-06
585,ERVmap,3.921587225037455e-06
586,ERVmap,1.824000878438823e-07
587,ERVmap,0.00011289292871705212
588,ERVmap,0.0
589,ERVmap,1.0123104243532339e-05
590,ERVmap,7.067954736817865e-06
591,ERVmap,5.016000814598532e-07
592,ERVmap,1.3680007212099803e-07
593,ERVmap,0.00014845165741989743
594,ERVmap,3.875987550327989e-06
595,ERVmap,3.1920011006019797e-07
596,ERVmap,2.736001068134817e-07
597,ERVmap,8.572732199975578e-06
598,ERVmap,2.2800009940804334e-07
599,ERVmap,7.5695477277312115e-06
600,ERVmap,7.159153499866188e-06
601,ERVmap,1.2767992175774395e-06
602,ERVmap,9.758311254014132e-06
603,ERVmap,1.819408105048155e-05
604,ERVmap,1.3680007212099803e-07
605,ERVmap,0.0
606,ERVmap,4.3090171770192134e-05
607,ERVmap,1.824000878438823e-07
608,ERVmap,9.120005223938992e-08
609,ERVmap,2.872793654573376e-06
610,ERVmap,2.2800009940804334e-07
611,ERVmap,0.0
612,TELEscope,0.002164316613593907
613,TELEscope,0.00010286308640508377
614,TELEscope,0.0021636809731759433
615,TELEscope,7.113554120421345e-06
616,TELEscope,1.824000878438823e-07
617,TELEscope,1.139987761091397e-05
618,TELEscope,0.0001384225284762406
619,TELEscope,2.736001068134817e-07
620,TELEscope,0.001619639190497267
621,TELEscope,0.00010696622803521916
622,TELEscope,0.0019403394542728155
