,Method,FNR
278,ERVmancer,0.2833333333333333
279,ERVmancer,0.0375
280,ERVmancer,0.018609194700531167
281,ERVmancer,0.01807634730538922
282,ERVmancer,0.0
283,ERVmancer,0.0
284,ERVmancer,0.0058823529411764705
285,ERVmancer,0.0
286,ERVmancer,0.13333333333333333
287,ERVmancer,0.08181818181818182
288,ERVmancer,0.10909090909090909
289,ERVmancer,0.042940578974098524
290,ERVmancer,0.13529411764705881
291,ERVmancer,0.016666666666666666
292,ERVmancer,0.0
293,ERVmancer,0.01875
294,ERVmancer,0.98
295,ERVmancer,0.0
296,ERVmancer,0.0
297,ERVmancer,0.02
298,ERVmancer,0.13333333333333333
299,ERVmancer,0.4
300,ERVmancer,0.022222222222222223
301,ERVmancer,0.08333333333333333
302,ERVmancer,0.000881057268722467
303,ERVmancer,0.04938271604938271
304,ERVmancer,0.03590225563909774
305,ERVmancer,0.24285714285714285
306,ERVmap,0.08646814869026927
307,ERVmap,0.047538461538461536
308,ERVmap,0.08626817953861585
309,ERVmap,0.2819753086419753
310,ERVmap,0.004166666666666667
311,ERVmap,0.5652777777777778
312,ERVmap,0.08486880466472303
313,ERVmap,0.08888888888888889
314,ERVmap,0.09516857915023703
315,ERVmap,0.07315668202764977
316,ERVmap,0.09214260376019866
317,ERVmap,0.16899224806201552
318,ERVmap,0.0
319,ERVmap,0.0
320,ERVmap,0.08646437511447586
321,ERVmap,0.058695652173913045
322,ERVmap,0.1490332176499752
323,ERVmap,0.06428571428571428
324,ERVmap,0.004545454545454545
325,ERVmap,0.0
326,ERVmap,0.025
327,ERVmap,0.722680412371134
328,ERVmap,0.1125
329,ERVmap,0.06814516129032258
330,ERVmap,0.22589167767503301
331,ERVmap,0.0
332,ERVmap,0.99375
333,ERVmap,0.08645171149144254
334,ERVmap,0.06314814814814815
335,ERVmap,0.09814747548129313
336,ERVmap,0.12696793002915452
337,ERVmap,0.14375
338,ERVmap,0.025
339,ERVmap,0.05416666666666667
340,ERVmap,0.09166666666666666
341,ERVmap,0.0
342,ERVmap,1.0
343,ERVmap,0.046460176991150445
344,ERVmap,0.17074303405572755
345,ERVmap,0.09580998248686515
346,ERVmap,0.08365881677197014
347,ERVmap,0.0
348,ERVmap,0.0
349,ERVmap,0.0
350,ERVmap,0.1000561377245509
351,ERVmap,0.5973684210526315
352,ERVmap,0.007142857142857143
353,ERVmap,0.08766970330722058
354,ERVmap,0.0
355,ERVmap,0.08341924398625429
356,ERVmap,0.0
357,ERVmap,0.08888888888888889
358,ERVmap,0.0
359,ERVmap,0.008333333333333333
360,ERVmap,0.020833333333333332
361,ERVmap,0.09582865047116798
362,ERVmap,0.0
363,ERVmap,0.08736059479553904
364,ERVmap,0.02
365,ERVmap,0.0
366,ERVmap,0.0
367,ERVmap,0.0
368,ERVmap,0.0
369,ERVmap,0.10408742075408742
370,ERVmap,0.0
371,ERVmap,0.09496356711103751
372,ERVmap,0.13832216170925848
373,ERVmap,0.01875
374,ERVmap,0.0
375,ERVmap,0.03219533275713051
